Department,age_group,tenure_group,employee_segment,age_group,top1,top2,top3,bot1,bot2,bot3,seg_rec1,seg_rec2,seg_rec3
HR,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
IT,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Sales,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Marketing,Millennials,Mid (3-7 years),1,Millennials,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
Finance,Gen Z,New (0-2 years),0,Gen Z,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,401k Standard Matching,401k Basic Matching,401k Investment Fees
Sales,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
Finance,Gen X,Senior (8+ years),2,Gen X,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Marketing,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Marketing,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Finance,Millennials,Mid (3-7 years),0,Millennials,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,401k Standard Matching,401k Basic Matching,401k Investment Fees
Finance,Gen X,Senior (8+ years),2,Gen X,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Marketing,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
IT,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Marketing,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Finance,Millennials,Mid (3-7 years),0,Millennials,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,401k Standard Matching,401k Basic Matching,401k Investment Fees
Sales,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Finance,Boomers,Mid (3-7 years),4,Boomers,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,On-Site Infant Care,,
IT,Gen X,Mid (3-7 years),4,Gen X,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,On-Site Infant Care,,
Sales,Millennials,Mid (3-7 years),1,Millennials,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
IT,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Finance,Boomers,Mid (3-7 years),4,Boomers,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,On-Site Infant Care,,
IT,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Finance,Millennials,Senior (8+ years),2,Millennials,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Sales,Millennials,Mid (3-7 years),1,Millennials,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
Marketing,Millennials,New (0-2 years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
Sales,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
Marketing,Millennials,Mid (3-7 years),1,Millennials,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
HR,Gen Z,Mid (3-7 years),0,Gen Z,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,401k Standard Matching,401k Basic Matching,401k Investment Fees
IT,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Sales,Gen Z,Mid (3-7 years),1,Gen Z,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
Finance,Gen Z,Mid (3-7 years),0,Gen Z,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,401k Standard Matching,401k Basic Matching,401k Investment Fees
Marketing,Gen Z,Mid (3-7 years),1,Gen Z,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
IT,Gen Z,New (0-2 years),3,Gen Z,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
HR,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
IT,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
IT,Millennials,Mid (3-7 years),0,Millennials,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,401k Standard Matching,401k Basic Matching,401k Investment Fees
Marketing,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
IT,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Marketing,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
IT,Millennials,New (0-2 years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
Marketing,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
IT,Gen Z,Mid (3-7 years),0,Gen Z,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,401k Standard Matching,401k Basic Matching,401k Investment Fees
IT,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
Marketing,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
IT,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
IT,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
HR,Boomers,Senior (8+ years),2,Boomers,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
IT,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Marketing,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Sales,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Sales,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Sales,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Sales,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
HR,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
Marketing,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
IT,Gen X,Mid (3-7 years),4,Gen X,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,On-Site Infant Care,,
HR,Gen Z,New (0-2 years),0,Gen Z,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,401k Standard Matching,401k Basic Matching,401k Investment Fees
Marketing,Gen X,Mid (3-7 years),1,Gen X,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
Finance,Millennials,Senior (8+ years),2,Millennials,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Finance,Boomers,Senior (8+ years),2,Boomers,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
HR,Gen X,Senior (8+ years),2,Gen X,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Marketing,Gen X,Mid (3-7 years),1,Gen X,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
Sales,Millennials,Mid (3-7 years),1,Millennials,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
Marketing,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
IT,Millennials,Mid (3-7 years),0,Millennials,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,401k Standard Matching,401k Basic Matching,401k Investment Fees
Sales,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Sales,Boomers,Mid (3-7 years),1,Boomers,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
Finance,Boomers,Senior (8+ years),2,Boomers,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Marketing,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Marketing,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
IT,Boomers,Mid (3-7 years),4,Boomers,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,On-Site Infant Care,,
Marketing,Gen Z,New (0-2 years),1,Gen Z,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
Sales,Millennials,Mid (3-7 years),1,Millennials,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
HR,Boomers,Senior (8+ years),2,Boomers,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
IT,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
Sales,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
IT,Boomers,Mid (3-7 years),4,Boomers,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,On-Site Infant Care,,
HR,Boomers,Senior (8+ years),2,Boomers,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Finance,Millennials,Mid (3-7 years),0,Millennials,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,401k Standard Matching,401k Basic Matching,401k Investment Fees
IT,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
HR,Gen X,Senior (8+ years),2,Gen X,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
HR,Gen X,Mid (3-7 years),4,Gen X,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,On-Site Infant Care,,
HR,Boomers,Senior (8+ years),2,Boomers,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Sales,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Sales,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Finance,Millennials,Senior (8+ years),2,Millennials,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Finance,Boomers,New (0-2 years),2,Boomers,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
HR,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
Marketing,Gen X,Mid (3-7 years),1,Gen X,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
Marketing,Gen X,New (0-2 years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Sales,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Finance,Gen X,New (0-2 years),2,Gen X,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Finance,Millennials,Senior (8+ years),2,Millennials,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Marketing,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
IT,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
IT,Millennials,New (0-2 years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
HR,Boomers,Senior (8+ years),2,Boomers,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Marketing,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
Sales,Millennials,Mid (3-7 years),1,Millennials,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
Sales,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
IT,Gen X,Mid (3-7 years),4,Gen X,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,On-Site Infant Care,,
IT,Millennials,Mid (3-7 years),0,Millennials,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,401k Standard Matching,401k Basic Matching,401k Investment Fees
Finance,Boomers,Senior (8+ years),2,Boomers,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
IT,Millennials,Mid (3-7 years),0,Millennials,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,401k Standard Matching,401k Basic Matching,401k Investment Fees
Sales,Millennials,New (0-2 years),1,Millennials,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
Finance,Gen X,Senior (8+ years),2,Gen X,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
IT,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Finance,Gen X,Senior (8+ years),2,Gen X,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Sales,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Sales,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Marketing,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
HR,Gen Z,New (0-2 years),0,Gen Z,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,401k Standard Matching,401k Basic Matching,401k Investment Fees
Sales,Millennials,Mid (3-7 years),1,Millennials,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
IT,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
Marketing,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
IT,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Finance,Gen X,Senior (8+ years),2,Gen X,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Marketing,Millennials,Mid (3-7 years),1,Millennials,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
HR,Boomers,Senior (8+ years),2,Boomers,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Sales,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
Marketing,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Marketing,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Marketing,Gen Z,Mid (3-7 years),1,Gen Z,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Basic Coverage,Supplemental High Amount,Supplemental Standard
Finance,Boomers,Mid (3-7 years),4,Boomers,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,On-Site Infant Care,,
IT,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
HR,Boomers,Senior (8+ years),2,Boomers,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
Sales,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
IT,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
Finance,Boomers,Senior (8+ years),2,Boomers,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,401k Basic Matching,401k Investment Fees
IT,Boomers,Senior (8+ years),5,Boomers,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
HR,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
Sales,Millennials,Senior (8+ years),3,Millennials,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,401k Basic Matching,401k Maximum Matching
Sales,Gen X,Senior (8+ years),5,Gen X,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Dependent Coverage,Supplemental High Amount
